contest_number,image_url,human_description,top_caption_1,top_caption_2,top_caption_3
809,https://nextml.github.io/caption-contest-data/cartoons/809.jpg,"Two hikers are struggling to carry a large house strapped to their backs as they traverse a mountain path. In the distance, two other hikers stand on a cliff, observing the scene. One hiker is speaking to the other.",Why don’t you ever leave the house?,Did we forget anything?,Thanks for helping me move.
810,https://nextml.github.io/caption-contest-data/cartoons/810.jpg,"A man stands outside an elevator, looking at another man inside the elevator who is accompanied by an elephant. The elevator is clearly overfilled with the elephant's large body taking up most of the space, and its eyes are visible above the man's head. The man inside the elevator is speaking, apparently nonchalant despite the absurd situation.","Actually, everybody wants to talk about it.",There’s a mouse on the stairs.,"No, it’s going down. Trust me."
811,https://nextml.github.io/caption-contest-data/cartoons/811.jpg,"Two whales are lounging on a beach, enjoying a sunny day. One whale is sipping a cocktail with a straw, while the other is wearing sunglasses and reading a book. In the background, a city skyline is visible. One whale is speaking to the other.","A few more years, and all this will be ours.",The key is to stay hydrated.,And you wanted to go to the mountains.
812,https://nextml.github.io/caption-contest-data/cartoons/812.jpg,"A human-shaped dog lies on a therapist's couch, looking distressed, while a human-shaped cat therapist in a suit sits nearby, holding a notepad and pen, attentively listening. The scene is set in a minimalist room. The dog is speaking.",You wouldn’t understand. I need people to like me.,This is the only place I'm allowed on the couch.,What happened to the mouse that came in before me?
813,https://nextml.github.io/caption-contest-data/cartoons/813.jpg,"A child dressed as Napoleon, complete with a hat and cape, rides a coin-operated horse ride outside a store. The ride costs 50 cents. The child is pointing forward dramatically, looking back at his mom. A woman, presumably the child's mother, stands nearby holding grocery bags and speaking at the child.",I will give you no quarter.,Look both ways before you cross the Alps.,"If we leave now, I’ll get you a treaty."
814,https://nextml.github.io/caption-contest-data/cartoons/814.jpg,"A man in a suit and tie, holding a briefcase, is using a tin can telephone. The string of the tin can telephone stretches out and winds through a series of hills, disappearing into the distance. The man appears to be listening intently and speaking.",I haven’t heard from you since we were kids!,I’m on my landline.,"""Try using a different can."""
815,https://nextml.github.io/caption-contest-data/cartoons/815.jpg,"In a restaurant, anthropomorphic vegetables are dining together at a table. A broccoli is eating a sandwich wit its elbows on the table, an asparagus is cutting into a steak, and a tomato is also eating a steak. In the background, a human couple is seated at another table with food and wine, seemingly observing the vegetable diners with disapproving or confused expressions. One human is speaking to the other.",Elbows on the table. Another reason I don’t like broccoli.,"On the other hand, wouldn’t it be weirder if they had ordered salad?","I’d eat like that, too, if I had no arteries."
816,https://nextml.github.io/caption-contest-data/cartoons/816.jpg,"A man with a brick wall for a head sits at a small round table, holding a cup of coffee. Across from him, a woman with a thoughtful expression also holds a cup of coffee. The scene suggests a conversation, but the man's head is a literal brick wall. The woman is speaking.",Do you mind if I bounce something off you?,I almost didn’t recognize you without the graffiti.,Can I offer you some constructive criticism?
817,https://nextml.github.io/caption-contest-data/cartoons/817.jpg,"In a nighttime forest setting, a camper is carrying a giant star that has fallen to the ground while another camper sits by a campfire near a tent with a book, remarking on the star.",You just don’t see stars like this in the city.,"If three wise, angry men come by, you haven’t seen me.",Stop asking for the moon.
818,https://nextml.github.io/caption-contest-data/cartoons/818.jpg,"A person sitting on a couch with a laptop and a cat beside them looks surprised as a full circus parade, including a unicyclist with an umbrella, a bear in a clown outfit carrying a handbag, jugglers, acrobats, a saxophone-playing clown, and various performing animals, marches through their living room. The baton-twirling leader in a top hat is speaking to the man on the couch.",Your downstairs neighbors sent us.,I told you I’ve been juggling a lot lately.,You need to get your act together.
819,https://nextml.github.io/caption-contest-data/cartoons/819.jpg,"A man with colorful patchwork pants stands on a cloud, looking up at a large, imposing figure seated behind a tall podium. The scene appears to be set in the afterlife, with the man seemingly awaiting judgment or a conversation with the figure. The contrast between the man's whimsical pants and the serious setting adds an element of absurdity. The man is speaking.","""I only knew about the moral code."""," ""Says the guy who's probably not even wearing pants.""","""O.K., I took two risks today."""
820,https://nextml.github.io/caption-contest-data/cartoons/820.jpg,"A psychologist sits at his desk, holding up a Rorschach inkblot test. Across from him, an anthropomorphic ink bottle with a worried expression sits in a chair, seemingly in a therapy session. The ink bottle is speaking.",It leaves me feeling empty.,I see a lot of myself in this one.,Leave my mother out of this.
821,https://nextml.github.io/caption-contest-data/cartoons/821.jpg,"Three eagles are perched on a tree. The eagle on the left has a distinctive pompadour hairstyle, while the two eagles on the right are engaged in a conversation, with one eagle speaking to the other. The scene is set against a backdrop of mountains and foliage.",You shoulda heard the mockingbirds this morning.,He looks ten years less endangered.,It’ll fly off when he does.
822,https://nextml.github.io/caption-contest-data/cartoons/822.jpg,"In a cozy bedroom at night, an alien with a large head and big eyes is sitting on a chair next to a bed, reading a book to a wide-eyed, nervous child who is tucked under the covers. The room is dimly lit by a bedside lamp, and a window shows a crescent moon in the night sky. The alien is speaking with a smile.","Goodnight, trees, goodnight, dirt. Goodnight, human race on the earth.","O.K., time to go to sleep. We’ve got a long trip ahead of us tomorrow.",Would you like me to read it or just implant it in your head?
823,https://nextml.github.io/caption-contest-data/cartoons/823.jpg,"A flight attendant dressed as a magician, complete with a top hat and magic wand, is demonstrating a trick for passengers seated on an airplane. The flight attendant is enthusiastic speaking and animated, with sparkles around the wand.",Think of a delay between one and ten hours.,"We’ve overbooked, so I am going to make six of you disappear.",Will you be having the rabbit or the dove?
824,https://nextml.github.io/caption-contest-data/cartoons/824.jpg,"In a dense jungle setting, two snakes face each other. The snake on the left appears to have eaten a large animal, whose ears, head, and back is perfectly outlined by the snake, who is sticking its tongue out. The other snake is speaking. The surrounding foliage is lush and thick, emphasizing the wild environment. ",Your stomach is growling.,You have something in your teeth.,I thought we were going to grab something together.
825,https://nextml.github.io/caption-contest-data/cartoons/825.jpg,"A group of people in business suits are seated around a conference table in a high-rise office, but all of them have carved pumpkin heads with sad expressions. The pumpkin head at the head of the table appears to be speaking with a smile, while the others listen. The scene outside the large window shows a cityscape with tall buildings.",Thanks for carving out a little face time.,"""Just remember, you can be empty-headed and orange and still succeed in America.""","""So where do you see yourselves three days from now?"""
826,https://nextml.github.io/caption-contest-data/cartoons/826.jpg,"In an operating room, three surgeons in scrubs and masks are gathered around a patient on the operating table. Above them hangs a large disco ball, and the room is filled with sparkling lights, creating a party-like atmosphere. One of the surgeons is gesturing with a gloved hand as if to be speaking, while the others look on. Medical equipment and monitors surround the scene, contrasting with the festive disco ball.",The patient has requested ‘Stayin’ Alive.',I'm detecting a beat.,He’s going to need more drugs.
827,https://nextml.github.io/caption-contest-data/cartoons/827.jpg,"In a subway car, a man in a business suit holding a briefcase sits next to a caveman wearing a tattered loincloth and holding a club. The businessman has a neutral expression, while the caveman appears to be speaking.",How do you kill your lunch with that thing?,You won't believe how long I've been waiting for this train.,I gave you the wheel and this is what you did with it?
828,https://nextml.github.io/caption-contest-data/cartoons/828.jpg,"A golfer stands on the green, with his putter in hand and a golf ball nearby. In front of him, a small UFO has landed in between his ball and the hole. In the background, another golfer is approaching. The scene is set on a clear day with a flag marking the hole. The golfer on the green is speaking to the other golfer.",Everyone’s landing on the green but you.,They said they can see the kink in your backswing from space.,"They want me to take them to our leader. You’re winning, right?"
829,https://nextml.github.io/caption-contest-data/cartoons/829.jpg,"Two snakes are lying on the ground next to a winding mountain road. They are looking up at a road sign with a serpentine, curvy arrow. One snake appears to be speaking to the other, who is looking up at the sign.","""You always think everything is about you.""","""It's a trick. Remember what happened to the deer?""","""I don't know who he is, but his signs are everywhere."""
830,https://nextml.github.io/caption-contest-data/cartoons/830.jpg,"In a crowded soccer stadium, a player wearing the number 10 jersey stands ready to take a penalty kick. Instead of a goalkeeper, there is a therapist's couch inside the goal, with a player lying on it and talking to a therapist who is seated on a stool, taking notes.","""Well, of course I'm being defensive.""","""My biggest fear is sudden death.""","""Are our ninety minutes about up?"""
831,https://nextml.github.io/caption-contest-data/cartoons/831.jpg,"A woman is lying in bed, reading a book, with a lamp and a glass of water on the bedside table. A man in a suit stands on top of the bed at her feet, holding a drink and speaking into a microphone on a stand. The scene is set in a bedroom with a cozy, intimate atmosphere.",Any happily married people here tonight?,Was it funny for you?,"So, relationships—am I right?"
